base_id,variant_id,variant_index,domain,requirement_text,smells,applied_rules
B-001,B-001-S01,1,Disputes Management System,"The system shall allow a logged-in user to create a new dispute record with customer identifier, dispute reason, and disputed amount according to internal policies KYC AML and PCI DSS.","[""acronym_overuse_or_abbrev""]","[""acronym_overuse_or_abbrev:add_unexplained_acronyms""]"
B-001,B-001-S02,2,Disputes Management System,"The system may allow a logged-in user to create a new dispute record with customer identifier, dispute reason, and disputed amount and display the message on screens if possible.","[""ambiguous_plurality"", ""conditional_or_non_assertive_requirement""]","[""ambiguous_plurality:add_screens_scope"", ""conditional_or_non_assertive_requirement:replace_shall_with_may_if_possible""]"
B-001,B-001-S03,3,Disputes Management System,"The system shall allow a logged-in user to create a new dispute record with customer identifier, dispute reason, and disputed amount as specified in section 2.1.3.4.2.1 of the design document using a PostgreSQL database and a React-based web interface.","[""deep_nesting_or_structure_issue"", ""design_or_implementation_detail""]","[""deep_nesting_or_structure_issue:add_deep_section_reference"", ""design_or_implementation_detail:add_tech_stack""]"
B-001,B-001-S04,4,Disputes Management System,"The system shall allow a logged-in user to create a new dispute record with customer identifier, dispute reason, and disputed amount in accordance with KYC AML PCI DSS and SOX requirements in order to support auditing and regulatory compliance and behaves in the same way as described above.","[""domain_term_imbalance"", ""embedded_rationale_or_justification"", ""excessive_or_insufficient_coupling""]","[""domain_term_imbalance:add_many_domain_acronyms"", ""embedded_rationale_or_justification:add_in_order_to"", ""excessive_or_insufficient_coupling:add_as_described_above""]"
B-001,B-001-S05,5,Disputes Management System,The system.,"[""implicit_requirement"", ""incomplete_reference_or_condition"", ""incomplete_requirement""]","[""implicit_requirement:add_so_that_notification"", ""incomplete_reference_or_condition:add_vague_condition"", ""incomplete_requirement:remove_main_action""]"
B-001,B-001-S06,6,Disputes Management System,"After processing is complete, The system will allow a logged-in user to create a new dispute record with customer identifier, dispute reason, and disputed amount for at least a short period of time.","[""incorrect_or_confusing_order"", ""language_error_or_grammar_issue"", ""loophole_or_open_ended""]","[""incorrect_or_confusing_order:prepend_after_clause"", ""language_error_or_grammar_issue:introduce_grammar_error"", ""loophole_or_open_ended:add_at_least""]"
B-001,B-001-S07,7,Disputes Management System,If the described condition occurs within 5 and shall not allow unauthorized access.,"[""missing_imperative_verb"", ""missing_system_response"", ""missing_unit_of_measurement"", ""negative_formulation""]","[""missing_imperative_verb:remove_shall"", ""missing_system_response:replace_with_if_only"", ""missing_unit_of_measurement:add_bare_number"", ""negative_formulation:add_shall_not_allow""]"
B-001,B-001-S08,8,Disputes Management System,"Validate input, log the error, send a notification, restart the service including user identifier, timestamp, action, etc..","[""non_atomic_requirement"", ""non_verifiable_qualifier"", ""overuse_imperative_form"", ""partial_content_or_incomplete_enumeration""]","[""non_atomic_requirement:add_notification_action"", ""non_verifiable_qualifier:add_minimal_delay"", ""overuse_imperative_form:replace_with_command_list"", ""partial_content_or_incomplete_enumeration:add_etc_list""]"
B-002,B-002-S01,1,Disputes Management System,The system shall be display a list of existing dispute records filtered by customer identifier.,"[""passive_voice""]","[""passive_voice:system_shall_be_pattern""]"
B-002,B-002-S02,2,Disputes Management System,The system shall display a list of existing dispute records filtered by customer identifier. for a large number of users.,"[""punctuation_issue"", ""quantifier_without_unit_or_range""]","[""punctuation_issue:remove_commas_and_double_period"", ""quantifier_without_unit_or_range:add_large_number""]"
B-002,B-002-S03,3,Disputes Management System,The system shall display a list of existing dispute records filtered by customer identifier through a user-friendly and intuitive interface using the best and more secure method.,"[""subjective_language"", ""superlative_or_comparative_without_reference""]","[""subjective_language:add_user_friendly_interface"", ""superlative_or_comparative_without_reference:add_best_method""]"
B-002,B-002-S04,4,Disputes Management System,Lock account.,"[""too_long_sentence"", ""too_many_dependencies_or_versions"", ""too_short_sentence""]","[""too_long_sentence:add_and_then_chain"", ""too_many_dependencies_or_versions:add_many_req_refs"", ""too_short_sentence:replace_with_fragment""]"
B-002,B-002-S05,5,Disputes Management System,"The system shall display a list of existing dispute records filtered by customer identifier and update the internal Compliance Index which, when combined with other operations that may occur during processing, shall be handled in accordance with the internal procedures under normal conditions and as appropriate.","[""undefined_term"", ""unreadable_structure"", ""vague_or_implicit_terms""]","[""undefined_term:add_compliance_index"", ""unreadable_structure:add_nested_clause"", ""vague_or_implicit_terms:add_normal_conditions""]"
B-002,B-002-S06,6,Disputes Management System,The system shall display a list of existing dispute records filtered by customer identifier and this shall be handled later according to internal policies KYC AML and PCI DSS and display the message on screens.,"[""vague_pronoun_or_reference"", ""acronym_overuse_or_abbrev"", ""ambiguous_plurality""]","[""vague_pronoun_or_reference:add_this_reference"", ""acronym_overuse_or_abbrev:add_unexplained_acronyms"", ""ambiguous_plurality:add_screens_scope""]"
B-002,B-002-S07,7,Disputes Management System,The system may display a list of existing dispute records filtered by customer identifier if possible as specified in section 2.1.3.4.2.1 of the design document using a PostgreSQL database and a React-based web interface in accordance with KYC AML PCI DSS and SOX requirements.,"[""conditional_or_non_assertive_requirement"", ""deep_nesting_or_structure_issue"", ""design_or_implementation_detail"", ""domain_term_imbalance""]","[""conditional_or_non_assertive_requirement:replace_shall_with_may_if_possible"", ""deep_nesting_or_structure_issue:add_deep_section_reference"", ""design_or_implementation_detail:add_tech_stack"", ""domain_term_imbalance:add_many_domain_acronyms""]"
B-002,B-002-S08,8,Disputes Management System,The system shall display a list of existing dispute records filtered by customer identifier in order to support auditing and regulatory compliance and behaves in the same way as described above so that all relevant stakeholders are notified appropriately during normal operation when appropriate conditions are met.,"[""embedded_rationale_or_justification"", ""excessive_or_insufficient_coupling"", ""implicit_requirement"", ""incomplete_reference_or_condition""]","[""embedded_rationale_or_justification:add_in_order_to"", ""excessive_or_insufficient_coupling:add_as_described_above"", ""implicit_requirement:add_so_that_notification"", ""incomplete_reference_or_condition:add_vague_condition""]"
B-003,B-003-S01,1,Disputes Management System,The system.,"[""incomplete_requirement""]","[""incomplete_requirement:remove_main_action""]"
B-003,B-003-S02,2,Disputes Management System,"After processing is complete, The system will allow an authorized user to update the status of a dispute record to Open, In Progress, Resolved, or Closed.","[""incorrect_or_confusing_order"", ""language_error_or_grammar_issue""]","[""incorrect_or_confusing_order:prepend_after_clause"", ""language_error_or_grammar_issue:introduce_grammar_error""]"
B-003,B-003-S03,3,Disputes Management System,"The system  allow an authorized user to update the status of a dispute record to Open, In Progress, Resolved, or Closed for at least a short period of time.","[""loophole_or_open_ended"", ""missing_imperative_verb""]","[""loophole_or_open_ended:add_at_least"", ""missing_imperative_verb:remove_shall""]"
B-003,B-003-S04,4,Disputes Management System,If the described condition occurs within 5 and shall not allow unauthorized access.,"[""missing_system_response"", ""missing_unit_of_measurement"", ""negative_formulation""]","[""missing_system_response:replace_with_if_only"", ""missing_unit_of_measurement:add_bare_number"", ""negative_formulation:add_shall_not_allow""]"
B-003,B-003-S05,5,Disputes Management System,"Validate input, log the error, send a notification, restart the service.","[""non_atomic_requirement"", ""non_verifiable_qualifier"", ""overuse_imperative_form""]","[""non_atomic_requirement:add_notification_action"", ""non_verifiable_qualifier:add_minimal_delay"", ""overuse_imperative_form:replace_with_command_list""]"
B-003,B-003-S06,6,Disputes Management System,The system shall be allow an authorized user to update the status of a dispute record to Open In Progress Resolved or Closed including user identifier timestamp action etc..,"[""partial_content_or_incomplete_enumeration"", ""passive_voice"", ""punctuation_issue""]","[""partial_content_or_incomplete_enumeration:add_etc_list"", ""passive_voice:system_shall_be_pattern"", ""punctuation_issue:remove_commas_and_double_period""]"
B-003,B-003-S07,7,Disputes Management System,"The system shall allow an authorized user to update the status of a dispute record to Open, In Progress, Resolved, or Closed for a large number of users through a user-friendly and intuitive interface using the best and more secure method and then the system shall log the operation in the audit trail and then the system shall update the internal statistics.","[""quantifier_without_unit_or_range"", ""subjective_language"", ""superlative_or_comparative_without_reference"", ""too_long_sentence""]","[""quantifier_without_unit_or_range:add_large_number"", ""subjective_language:add_user_friendly_interface"", ""superlative_or_comparative_without_reference:add_best_method"", ""too_long_sentence:add_and_then_chain""]"
B-003,B-003-S08,8,Disputes Management System,"Lock account and update the internal Compliance Index which, when combined with other operations that may occur during processing, shall be handled in accordance with the internal procedures.","[""too_many_dependencies_or_versions"", ""too_short_sentence"", ""undefined_term"", ""unreadable_structure""]","[""too_many_dependencies_or_versions:add_many_req_refs"", ""too_short_sentence:replace_with_fragment"", ""undefined_term:add_compliance_index"", ""unreadable_structure:add_nested_clause""]"
B-004,B-004-S01,1,Disputes Management System,The system shall prevent a user without supervisor privileges from changing the status of a dispute record to Closed under normal conditions and as appropriate.,"[""vague_or_implicit_terms""]","[""vague_or_implicit_terms:add_normal_conditions""]"
B-004,B-004-S02,2,Disputes Management System,The system shall prevent a user without supervisor privileges from changing the status of a dispute record to Closed and this shall be handled later according to internal policies KYC AML and PCI DSS.,"[""vague_pronoun_or_reference"", ""acronym_overuse_or_abbrev""]","[""vague_pronoun_or_reference:add_this_reference"", ""acronym_overuse_or_abbrev:add_unexplained_acronyms""]"
B-004,B-004-S03,3,Disputes Management System,The system may prevent a user without supervisor privileges from changing the status of a dispute record to Closed and display the message on screens if possible.,"[""ambiguous_plurality"", ""conditional_or_non_assertive_requirement""]","[""ambiguous_plurality:add_screens_scope"", ""conditional_or_non_assertive_requirement:replace_shall_with_may_if_possible""]"
B-004,B-004-S04,4,Disputes Management System,The system shall prevent a user without supervisor privileges from changing the status of a dispute record to Closed as specified in section 2.1.3.4.2.1 of the design document using a PostgreSQL database and a React-based web interface in accordance with KYC AML PCI DSS and SOX requirements.,"[""deep_nesting_or_structure_issue"", ""design_or_implementation_detail"", ""domain_term_imbalance""]","[""deep_nesting_or_structure_issue:add_deep_section_reference"", ""design_or_implementation_detail:add_tech_stack"", ""domain_term_imbalance:add_many_domain_acronyms""]"
B-004,B-004-S05,5,Disputes Management System,The system shall prevent a user without supervisor privileges from changing the status of a dispute record to Closed in order to support auditing and regulatory compliance and behaves in the same way as described above so that all relevant stakeholders are notified appropriately.,"[""embedded_rationale_or_justification"", ""excessive_or_insufficient_coupling"", ""implicit_requirement""]","[""embedded_rationale_or_justification:add_in_order_to"", ""excessive_or_insufficient_coupling:add_as_described_above"", ""implicit_requirement:add_so_that_notification""]"
B-004,B-004-S06,6,Disputes Management System,"After processing is complete, The system.","[""incomplete_reference_or_condition"", ""incomplete_requirement"", ""incorrect_or_confusing_order""]","[""incomplete_reference_or_condition:add_vague_condition"", ""incomplete_requirement:remove_main_action"", ""incorrect_or_confusing_order:prepend_after_clause""]"
B-004,B-004-S07,7,Disputes Management System,If the described condition occurs.,"[""language_error_or_grammar_issue"", ""loophole_or_open_ended"", ""missing_imperative_verb"", ""missing_system_response""]","[""language_error_or_grammar_issue:introduce_grammar_error"", ""loophole_or_open_ended:add_at_least"", ""missing_imperative_verb:remove_shall"", ""missing_system_response:replace_with_if_only""]"
B-004,B-004-S08,8,Disputes Management System,The system shall not allow a user without supervisor privileges from changing the status of a dispute record to Closed within 5 and send a notification email to the administrator with minimal delay whenever possible.,"[""missing_unit_of_measurement"", ""negative_formulation"", ""non_atomic_requirement"", ""non_verifiable_qualifier""]","[""missing_unit_of_measurement:add_bare_number"", ""negative_formulation:replace_prevent_with_not_allow"", ""non_atomic_requirement:add_notification_action"", ""non_verifiable_qualifier:add_minimal_delay""]"
B-005,B-005-S01,1,Disputes Management System,"Validate input, log the error, send a notification, restart the service.","[""overuse_imperative_form""]","[""overuse_imperative_form:replace_with_command_list""]"
